Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[3, 2], [4, -1], [-2]]",3,13,0.8125,3,1.6666666666666667,"[[4, -1], [3], [-2]]","[[-1], [1]]",1.0,0.1875,1.0,1.0,1.0,1.0,0.1875,T+,T+,T+,0.9936144045732385,0.8871987387381082,25.8715084416259,457.01905428153555,84,316,22,45
"[[1, 4, 3], [-4], [-4, -2]]",6,10,0.625,3,2,"[[1, 3], [-4]]","[[2, -3], [-1], [4], [-2]]",1.0,0.4375,0.4375,1.0,1.0,1.0,0.4375,T-,T+,T+,0.9951568817628045,0.9354806642649707,19.62209723345085,261.40280233247296,171,229,36,31
"[[1, -2], [2, 4, -1]]",10,6,0.625,2,2.5,"[[1, -2], [2, 4, -1]]","[[4], [-4]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9940252231414087,0.9633714822555842,24.207059734172006,148.40198019082467,277,123,55,12
"[[4, 3, 1], [-2]]",7,9,0.5625,2,2,"[[1, 3, 4], [-2]]","[[4], [-4]]",1.0,0.4375,0.4375,1.0,1.0,1.0,0.4375,T-,T+,T+,0.9946632425580268,0.9286029740579723,21.62209723345085,289.26805347311483,191,209,40,27
"[[4], [2, 1, -4]]",6,10,0.625,2,2,"[[1, 2], [4]]","[[1, 3], [2, -3], [-1], [-2]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.9174501419721638,19.62209723345085,334.45422174283925,183,217,37,30
"[[-3, -2, -4], [1], [-3, -2, -1]]",6,10,0.625,3,2.3333333333333335,"[[-3, -2], [1]]","[[4], [-4]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.9254743359808415,19.62209723345085,301.94386222918786,172,228,39,28
"[[-3, 4], [1]]",6,10,0.625,2,1.5,"[[4, -3], [1]]","[[-4], [4]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.923580740710389,19.62209723345085,309.6158431096585,171,229,38,29
"[[3], [-3, -1]]",4,12,0.75,2,1.5,"[[3], [-1]]","[[-2], [2]]",1.0,0.25,1.0,1.0,1.0,1.0,0.25,T+,T+,T+,0.9946548011644958,0.9556674036063116,14.626395943789367,121.3100069848237,137,263,11,15
"[[-4, -3], [-1, 3, -2], [-4, 2, -3]]",10,6,0.625,3,2.6666666666666665,"[[-4, -3], [3, -1, -2]]","[[4], [-4]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9940252231414087,0.9609572002196722,24.207059734172006,158.18354540098366,289,111,54,13
"[[1, -3, 4], [-3, 2]]",11,5,0.6875,2,2.5,"[[1, 4, -3, -2], [2, -3]]","[[4], [-4]]",1.0,0.6875,0.6875,1.0,1.0,1.0,0.6875,T-,T+,T+,0.9937784035390199,0.9684637854292522,25.207059734172006,127.77029970685139,310,90,57,10
"[[2, 4, 3], [-4]]",6,10,0.625,2,2,"[[2, 3], [-4]]","[[1, 3], [2, -3], [-1], [-2]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.916956502767386,19.62209723345085,336.45422174283925,179,221,37,30
"[[-2], [3]]",4,12,0.75,2,1,"[[-2], [3]]","[[1], [-1]]",1.0,0.25,1.0,1.0,1.0,1.0,0.25,T+,T+,T+,0.9946548011644958,0.9556674036063116,14.626395943789367,121.3100069848237,143,257,11,15
"[[-1], [3, -4], [-3, -1, -2]]",6,10,0.625,3,2,"[[3, -4], [-1]]","[[4], [-4]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.9180493022879164,19.62209723345085,332.0266985236394,178,222,35,32
"[[2, -1, 4], [1, -4, -3]]",12,4,0.75,2,3,"[[2, 4, -1], [1, -4, -3]]","[[4], [-4]]",1.0,0.75,0.75,1.0,1.0,1.0,0.75,T-,T+,T+,0.9935315839366311,0.9780346653506286,26.207059734172006,88.99347716623947,336,64,61,6
"[[-1], [-4, 3, -2]]",7,9,0.5625,2,2,"[[3, -4, -2], [-1]]","[[-4], [4]]",1.0,0.4375,0.4375,1.0,1.0,1.0,0.4375,T-,T+,T+,0.9946632425580268,0.9273464534094036,21.62209723345085,294.3588997284668,208,192,39,28
"[[1], [-4], [-1, 2, -3]]",3,13,0.8125,3,1.6666666666666667,"[[2, -3], [-4], [1]]","[[3, -2], [-1], [4]]",1.0,0.375,1.0,1.0,1.0,1.0,0.375,T+,T+,T+,0.9936144045732385,0.9361595634969041,25.8715084416259,258.652213540648,100,300,24,43
"[[3, 1, 2], [-2, 1], [-1, 3]]",6,10,0.625,3,2.3333333333333335,"[[1, -2], [3]]","[[1], [-1]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9939239035659286,0.964598070590024,16.62639594378937,96.87247428196775,198,202,15,11
"[[1, -3, -4], [2]]",7,9,0.5625,2,2,"[[1, -4, -3], [2]]","[[4], [-4]]",1.0,0.4375,0.4375,1.0,1.0,1.0,0.4375,T-,T+,T+,0.9946632425580268,0.9304985428937679,21.62209723345085,281.58807660965124,217,183,41,26
"[[-3, 4], [3]]",4,12,0.75,2,1.5,"[[4], [3]]","[[2, -3], [1, -2], [-1], [-4]]",1.0,0.3125,1.0,1.0,1.0,1.0,0.3125,T+,T+,T+,0.9957949011794226,0.9124329500022296,17.037134732729697,354.7815860258029,121,279,26,41
"[[-3, 1], [-3, -1, -2], [-2, 1]]",8,8,0.5,3,2.3333333333333335,"[[-3, -2], [1, -3], [1, -2]]","[[-3], [3]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9904816184580754,0.9736973591802138,26.045732153406725,71.97353191842035,229,171,19,7
"[[1, -4, 3], [-4, -3], [3, -1]]",6,10,0.625,3,2.3333333333333335,"[[3, -1], [-4]]","[[1, 3], [2, -3], [-1], [-2]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.9150645828062614,19.62209723345085,344.11941503710705,170,230,36,31
"[[4, -1], [4, -1]]",12,4,0.75,2,2,"[[4, -1]]","[[-4], [4]]",1.0,0.75,0.75,1.0,1.0,1.0,0.75,T-,T+,T+,0.9966377993771376,0.9711447275140751,13.622097233450853,116.9083500931433,328,72,58,9
"[[1], [-2, 3, 4]]",7,9,0.5625,2,2,"[[3, 4, -2], [1]]","[[4], [-4]]",1.0,0.4375,0.4375,1.0,1.0,1.0,0.4375,T-,T+,T+,0.9946632425580268,0.9328888752405119,21.62209723345085,271.90354457244985,200,200,42,25
"[[4], [-2, 4, -3]]",8,8,0.5,2,2,[[4]],"[[-1], [1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9972758187937556,0.9341229732524561,11.037134732729697,266.90354457244985,227,173,42,25
"[[-4], [2], [3, -4, 1]]",4,12,0.75,3,1.6666666666666667,"[[2], [-4]]","[[1, 3], [-1], [4], [-2]]",1.0,0.3125,1.0,1.0,1.0,1.0,0.3125,T+,T+,T+,0.9957949011794226,0.9144685042109352,17.037134732729697,346.53445253638586,134,266,27,40
